Ticker,Date,Open,High,Low,Close,Adj Close,Volume
NYA,2020-01-01,6528.81,6559.05,6346.59,6390.99,6390.99,736538
NYA,2020-01-02,6390.99,6444.34,6258.35,6314.32,6314.32,1063968
NYA,2020-01-03,6314.32,6408.3,6253.56,6373.74,6373.74,746110
NYA,2020-01-06,6373.74,6377.34,6286.63,6311.4,6311.4,143917
NYA,2020-01-07,6311.4,6399.18,6284.38,6351.3,6351.3,2964876
NYA,2020-01-08,6351.3,6414.1,6230.95,6256.66,6256.66,5429205
NYA,2020-01-09,6256.66,6288.9,6254.31,6257.87,6257.87,6197238
NYA,2020-01-10,6257.87,6311.09,6230.96,6298.12,6298.12,2475747
NYA,2020-01-13,6298.12,6334.59,6117.12,6146.47,6146.47,6518452
NYA,2020-01-14,6146.47,6276.56,6144.44,6256.34,6256.34,8736689
NYA,2020-01-15,6256.34,6264.79,6122.99,6180.45,6180.45,269375
NYA,2020-01-16,6180.45,6364.42,6168.73,6310.82,6310.82,9258426
NYA,2020-01-17,6310.82,6391.12,6260.0,6330.71,6330.71,6292310
NYA,2020-01-20,6330.71,6411.91,6313.81,6396.61,6396.61,4242258
NYA,2020-01-21,6396.61,6429.53,6372.76,6388.32,6388.32,5119931
NYA,2020-01-22,6388.32,6446.79,6275.44,6277.72,6277.72,3504919
NYA,2020-01-23,6277.72,6307.02,6166.39,6198.24,6198.24,5043981
NYA,2020-01-24,6198.24,6208.78,6088.11,6092.94,6092.94,4015975
NYA,2020-01-27,6092.94,6249.4,6065.82,6232.46,6232.46,1917886
NYA,2020-01-28,6232.46,6270.01,6082.12,6106.04,6106.04,6177742
NYA,2020-01-29,6106.04,6126.7,6006.18,6009.79,6009.79,1598406
NYA,2020-01-30,6009.79,6033.48,5906.4,5956.55,5956.55,3083672
NYA,2020-01-31,5956.55,5991.46,5768.08,5783.58,5783.58,8329092
NYA,2020-02-03,5783.58,5803.7,5663.25,5707.43,5707.43,6541447
NYA,2020-02-04,5707.43,5752.28,5509.32,5558.11,5558.11,9674414
NYA,2020-02-05,5558.11,5745.99,5507.52,5709.25,5709.25,7665759
NYA,2020-02-06,5709.25,5872.89,5677.37,5849.9,5849.9,1811702
NYA,2020-02-07,5849.9,5902.42,5732.25,5782.92,5782.92,4613886
NYA,2020-02-10,5782.92,5848.93,5779.6,5818.53,5818.53,9646180
NYA,2020-02-11,5818.53,5844.76,5632.99,5689.51,5689.51,6535449
NYA,2020-02-12,5689.51,5894.98,5651.16,5856.9,5856.9,6972417
NYA,2020-02-13,5856.9,5927.56,5813.0,5896.7,5896.7,4100201
NYA,2020-02-14,5896.7,6042.62,5879.16,6010.35,6010.35,467329
NYA,2020-02-17,6010.35,6016.93,5914.97,5934.36,5934.36,3581868
NYA,2020-02-18,5934.36,6047.7,5886.17,6032.74,6032.74,170617
NYA,2020-02-19,6032.74,6069.06,5911.34,5932.2,5932.2,7684401
NYA,2020-02-20,5932.2,6024.51,5879.55,5983.65,5983.65,6006626
NYA,2020-02-21,5983.65,6114.53,5979.87,6087.58,6087.58,6710179
NYA,2020-02-24,6087.58,6227.3,6061.75,6175.82,6175.82,7181721
NYA,2020-02-25,6175.82,6177.64,6034.68,6070.81,6070.81,1860733
NYA,2020-02-26,6070.81,6137.02,6014.84,6133.26,6133.26,4773315
NYA,2020-02-27,6133.26,6145.06,6011.3,6033.48,6033.48,9285252
NYA,2020-02-28,6033.48,6064.85,5990.52,5993.63,5993.63,1974424
NYA,2020-03-02,5993.63,6007.5,5801.4,5832.92,5832.92,9616110
NYA,2020-03-03,5832.92,5884.47,5662.11,5667.48,5667.48,5972306
NYA,2020-03-04,5667.48,5721.49,5563.48,5578.11,5578.11,8995482
NYA,2020-03-05,5578.11,5615.36,5417.51,5434.88,5434.88,785991
NYA,2020-03-06,5434.88,5576.14,5426.8,5537.64,5537.64,6381708
NYA,2020-03-09,5537.64,5616.55,5492.17,5596.54,5596.54,5008655
NYA,2020-03-10,5596.54,5787.12,5555.45,5763.92,5763.92,5112936
NYA,2020-03-11,5763.92,5972.76,5734.36,5922.36,5922.36,3163953
NYA,2020-03-12,5922.36,5966.62,5743.0,5773.27,5773.27,6817073
NYA,2020-03-13,5773.27,5810.69,5718.9,5748.36,5748.36,177713
NYA,2020-03-16,5748.36,5920.67,5716.88,5870.44,5870.44,1979844
NYA,2020-03-17,5870.44,5902.01,5861.35,5870.91,5870.91,4916090
